Story,OutputCase,CaseType,StepType,StepNumber,Item,Max Drift,Avg Drift,Ratio,Label,Max Loc X,Max Loc Y,Max Loc Z
Story7,W,LinStatic,Step By Step,8,Diaph D1 Y,2.5E-05,2.4E-05,1.039,43,32,32,22.5
Story7,W,LinStatic,Step By Step,9,Diaph D1 X,2.7E-05,1.9E-05,1.461,39,32,0,22.5
Story7,W,LinStatic,Step By Step,9,Diaph D1 Y,2.7E-05,1.8E-05,1.473,23,0,32,22.5
Story7,W,LinStatic,Step By Step,10,Diaph D1 X,2.5E-05,1.8E-05,1.402,43,32,32,22.5
Story7,W,LinStatic,Step By Step,10,Diaph D1 Y,2.5E-05,1.8E-05,1.396,43,32,32,22.5
Story7,W,LinStatic,Step By Step,11,Diaph D1 X,2.7E-05,1.9E-05,1.461,39,32,0,22.5
Story7,W,LinStatic,Step By Step,11,Diaph D1 Y,2.7E-05,1.8E-05,1.473,39,32,0,22.5
Story7,W,LinStatic,Step By Step,12,Diaph D1 X,2.5E-05,1.8E-05,1.402,43,32,32,22.5
Story7,W,LinStatic,Step By Step,12,Diaph D1 Y,2.5E-05,1.8E-05,1.396,23,0,32,22.5
Story7,Qx,LinRespSpec,Max,,Diaph D1 X,0.000998,0.000957,1.042,43,32,32,22.5
Story7,Qy,LinRespSpec,Max,,Diaph D1 Y,0.001071,0.001027,1.043,43,32,32,22.5
Story7,EU-F,Combination,Max,,Diaph D1 X,0.001534,0.001455,1.054,43,32,32,22.5
Story7,EU-F,Combination,Max,,Diaph D1 Y,0.001671,0.001574,1.061,43,32,32,22.5
Story7,EU-F,Combination,Min,,Diaph D1 X,0.001534,0.001455,1.054,43,32,32,22.5
Story7,EU-F,Combination,Min,,Diaph D1 Y,0.001665,0.001568,1.062,43,32,32,22.5
Story7,ES-F,Combination,Max,,Diaph D1 X,0.001074,0.001019,1.054,43,32,32,22.5
Story7,ES-F,Combination,Max,,Diaph D1 Y,0.001171,0.001103,1.062,43,32,32,22.5
Story7,ES-F,Combination,Min,,Diaph D1 X,0.001074,0.001019,1.054,43,32,32,22.5
Story7,ES-F,Combination,Min,,Diaph D1 Y,0.001166,0.001098,1.062,43,32,32,22.5
Story6,Ex,LinStatic,Step By Step,1,Diaph D1 X,0.00075,0.000704,1.065,39,32,0,19.5
Story6,Ex,LinStatic,Step By Step,2,Diaph D1 X,0.000736,0.0007,1.051,43,32,32,19.5
Story6,Ex,LinStatic,Step By Step,3,Diaph D1 X,0.000837,0.000709,1.181,39,32,0,19.5
Story6,Ey,LinStatic,Step By Step,1,Diaph D1 Y,0.0007,0.0007,1,23,0,32,19.5
Story6,Ey,LinStatic,Step By Step,2,Diaph D1 Y,0.000783,0.0007,1.119,43,32,32,19.5
Story6,Ey,LinStatic,Step By Step,3,Diaph D1 Y,0.000783,0.0007,1.119,23,0,32,19.5
Story6,W,LinStatic,Step By Step,1,Diaph D1 X,3.6E-05,3.4E-05,1.062,39,32,0,19.5
Story6,W,LinStatic,Step By Step,2,Diaph D1 Y,3.3E-05,3.3E-05,1,43,32,32,19.5
Story6,W,LinStatic,Step By Step,3,Diaph D1 X,3.6E-05,2.6E-05,1.389,39,32,0,19.5
Story6,W,LinStatic,Step By Step,4,Diaph D1 X,3.2E-05,2.5E-05,1.277,43,32,32,19.5
Story6,W,LinStatic,Step By Step,5,Diaph D1 Y,3.3E-05,2.5E-05,1.341,43,32,32,19.5
