Story,OutputCase,CaseType,StepType,StepNumber,Location,P,VX,VY,T,MX,MY
Story16,ES-F,Combination,Min,,Bottom,1685.9123,-406.0155,-277.8286,-9810.0429,25101.0998,-117116.0793
Story15,Ex,LinStatic,Step By Step,1,Top,0,-378.1801,-0.1837,6038.4374,0.7631,-1796.2906
Story15,Ex,LinStatic,Step By Step,1,Bottom,0,-378.1801,-0.1837,6038.4374,1.3142,-2930.8308
Story15,Ex,LinStatic,Step By Step,2,Top,0,-378.1674,0.103,6388.2572,-0.4529,-1796.2375
Story15,Ex,LinStatic,Step By Step,2,Bottom,0,-378.1674,0.103,6388.2572,-0.762,-2930.7397
Story15,Ex,LinStatic,Step By Step,3,Top,0,-378.1927,-0.4704,5688.6175,1.979,-1796.3437
Story15,Ex,LinStatic,Step By Step,3,Bottom,0,-378.1927,-0.4704,5688.6175,3.3904,-2930.9219
Story15,Ey,LinStatic,Step By Step,1,Top,0,-0.1793,-383.1904,-12416.4488,1817.6022,-0.7378
Story15,Ey,LinStatic,Step By Step,1,Bottom,0,-0.1793,-383.1904,-12416.4488,2967.1734,-1.2757
Story15,Ey,LinStatic,Step By Step,2,Top,0,-0.192,-383.4771,-12766.2687,1818.8182,-0.7909
Story15,Ey,LinStatic,Step By Step,2,Bottom,0,-0.192,-383.4771,-12766.2687,2969.2496,-1.3668
Story15,Ey,LinStatic,Step By Step,3,Top,0,-0.1666,-382.9036,-12066.629,1816.3863,-0.6848
Story15,Ey,LinStatic,Step By Step,3,Bottom,0,-0.1666,-382.9036,-12066.629,2965.0972,-1.1846
Story15,Qx,LinRespSpec,Max,,Top,0,434.0543,32.3154,8370.3015,202.6006,2498.543
Story15,Qx,LinRespSpec,Max,,Bottom,0,434.0543,32.3154,8370.3015,298.192,3776.777
Story15,Qy,LinRespSpec,Max,,Top,0,26.1115,282.7371,7503.8447,1722.5784,152.9092
Story15,Qy,LinRespSpec,Max,,Bottom,0,26.1115,282.7371,7503.8447,2553.2464,230.0966
Story15,Qx-Servicio (R=6),LinRespSpec,Max,,Top,0,261.3033,19.4541,5038.9713,121.9668,1504.1377
Story15,Qx-Servicio (R=6),LinRespSpec,Max,,Bottom,0,261.3033,19.4541,5038.9713,179.5134,2273.6422
Story15,Qy-Servicio (R=6),LinRespSpec,Max,,Top,0,14.823,160.5044,4259.7881,977.8746,86.8036
Story15,Qy-Servicio (R=6),LinRespSpec,Max,,Bottom,0,14.823,160.5044,4259.7881,1449.4288,130.6214
Story15,EU-F,Combination,Max,,Top,5979.1319,662.8249,438.6332,15931.8822,95666.2259,-102329.0372
Story15,EU-F,Combination,Max,,Bottom,6134.5737,662.8249,438.6332,15931.8822,98153.3759,-103165.1181
Story15,EU-F,Combination,Min,,Top,3314.1474,-662.8431,-438.6723,-15932.7013,50351.3845,-191499.9036
Story15,EU-F,Combination,Min,,Bottom,3400.3066,-662.8431,-438.6723,-15932.7013,50440.9581,-196530.1004
Story15,ES-F,Combination,Max,,Top,4642.3688,464.1083,307.2054,11189.8485,76151.5306,-67498.635
Story15,ES-F,Combination,Max,,Bottom,4763.0583,464.1083,307.2054,11189.8485,78985.4156,-67974.9972
Story15,ES-F,Combination,Min,,Top,2190.9247,-464.1221,-307.235,-11190.4674,33181.299,-151358.3976
Story15,ES-F,Combination,Min,,Bottom,2247.8831,-464.1221,-307.235,-11190.4674,33189.8712,-156630.8319
Story14,Ex,LinStatic,Step By Step,1,Top,0,-454.7553,-0.2387,7259.9705,1.3142,-2930.8308
Story14,Ex,LinStatic,Step By Step,1,Bottom,0,-454.7553,-0.2387,7259.9705,2.0304,-4295.0965
Story14,Ex,LinStatic,Step By Step,2,Top,0,-454.7388,0.1301,7681.7343,-0.762,-2930.7397
Story14,Ex,LinStatic,Step By Step,2,Bottom,0,-454.7388,0.1301,7681.7343,-1.1522,-4294.9561
Story14,Ex,LinStatic,Step By Step,3,Top,0,-454.7717,-0.6075,6838.2066,3.3904,-2930.9219
Story14,Ex,LinStatic,Step By Step,3,Bottom,0,-454.7717,-0.6075,6838.2066,5.213,-4295.2369
Story14,Ey,LinStatic,Step By Step,1,Top,0,-0.2343,-461.1874,-14956.1841,2967.1734,-1.2757
Story14,Ey,LinStatic,Step By Step,1,Bottom,0,-0.2343,-461.1874,-14956.1841,4350.7357,-1.9786
Story14,Ey,LinStatic,Step By Step,2,Top,0,-0.2507,-461.5562,-15377.948,2969.2496,-1.3668
Story14,Ey,LinStatic,Step By Step,2,Bottom,0,-0.2507,-461.5562,-15377.948,4353.9183,-2.119
Story14,Ey,LinStatic,Step By Step,3,Top,0,-0.2179,-460.8187,-14534.4203,2965.0972,-1.1846
Story14,Ey,LinStatic,Step By Step,3,Bottom,0,-0.2179,-460.8187,-14534.4203,4347.5531,-1.8382
Story14,Qx,LinRespSpec,Max,,Top,0,463.8741,31.4648,8813.3198,298.192,3776.777
