Story,Diaphragm,OutputCase,CaseType,StepType,StepNumber,UXMax,UYMax,UZMax,RXMax,RYMax,RZMax,UXMin,UYMin,UZMin,RXMin,RYMin,RZMin
Story7,D1,Qy,LinRespSpec,Max,,0.5917,1.6687,0.2023,0.145,0.055,0.035,,,,,,
Story7,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.6709,0.0693,0.1051,0.009,0.065,0.002,,,,,,
Story7,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.3359,0.9473,0.1148,0.082,0.031,0.02,,,,,,
Story6,D1,Qx,LinRespSpec,Max,,1.1021,0.1107,0.1743,0.014,0.11,0.003,,,,,,
Story6,D1,Qy,LinRespSpec,Max,,0.5408,1.59,0.1978,0.156,0.06,0.032,,,,,,
Story6,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.6635,0.0667,0.1049,0.008,0.066,0.002,,,,,,
Story6,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.307,0.9026,0.1123,0.089,0.034,0.018,,,,,,
Story5,D1,Qx,LinRespSpec,Max,,1.0521,0.1012,0.1859,0.015,0.12,0.002,,,,,,
Story5,D1,Qy,LinRespSpec,Max,,0.4862,1.4891,0.1977,0.159,0.061,0.029,,,,,,
Story5,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.6334,0.0609,0.1119,0.009,0.072,0.001,,,,,,
Story5,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.276,0.8453,0.1122,0.09,0.035,0.016,,,,,,
Story4,D1,Qx,LinRespSpec,Max,,0.9598,0.0846,0.1973,0.017,0.137,0.002,,,,,,
Story4,D1,Qy,LinRespSpec,Max,,0.4194,1.3342,0.2032,0.18,0.07,0.025,,,,,,
Story4,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.5778,0.051,0.1188,0.01,0.083,0.001,,,,,,
Story4,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.2381,0.7574,0.1153,0.102,0.04,0.014,,,,,,
Story3,D1,Qx,LinRespSpec,Max,,0.8846,0.0661,0.1863,0.015,0.12,0.002,,,,,,
Story3,D1,Qy,LinRespSpec,Max,,0.3767,1.2053,0.1926,0.164,0.067,0.023,,,,,,
Story3,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.5325,0.0398,0.1121,0.009,0.073,0.001,,,,,,
Story3,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.2138,0.6842,0.1094,0.093,0.038,0.013,,,,,,
Story2,D1,Qx,LinRespSpec,Max,,0.768,0.0479,0.1616,0.015,0.12,0.002,,,,,,
Story2,D1,Qy,LinRespSpec,Max,,0.3333,1.0267,0.1709,0.152,0.058,0.02,,,,,,
Story2,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.4623,0.0289,0.0973,0.009,0.072,0.001,,,,,,
Story2,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.1892,0.5829,0.097,0.086,0.033,0.012,,,,,,
Story1,D1,Qx,LinRespSpec,Max,,0.5632,0.032,0.1361,0.05,0.1,0.002,,,,,,
Story1,D1,Qy,LinRespSpec,Max,,0.2438,0.7277,0.1557,0.135,0.052,0.015,,,,,,
Story1,D1,Qx-Servicio (R=6),LinRespSpec,Max,,0.339,0.0193,0.0819,0.03,0.06,0.001,,,,,,
Story1,D1,Qy-Servicio (R=6),LinRespSpec,Max,,0.1384,0.4131,0.0884,0.077,0.029,0.009,,,,,,
