Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Drift/,Label,X,Y,Z
Story2,EU-F,Combination,Max,,X,0.002789,1/359,39,32,0,7.5
Story2,EU-F,Combination,Max,,Y,0.007094,1/141,177,64,0,7.5
Story2,EU-F,Combination,Min,,X,0.00279,1/358,39,32,0,7.5
Story2,EU-F,Combination,Min,,Y,0.007079,1/141,181,64,32,7.5
Story2,ES-F,Combination,Max,,X,0.001958,1/511,39,32,0,7.5
Story2,ES-F,Combination,Max,,Y,0.00497,1/201,177,64,0,7.5
Story2,ES-F,Combination,Min,,X,0.001958,1/511,39,32,0,7.5
Story2,ES-F,Combination,Min,,Y,0.004958,1/202,181,64,32,7.5
Story1,Ex,LinStatic,Step By Step,1,X,0.000674,1/1483,177,64,0,4.5
Story1,Ex,LinStatic,Step By Step,2,X,0.000701,1/1427,181,64,32,4.5
Story1,Ex,LinStatic,Step By Step,2,Y,0.00025,1/3995,181,64,32,4.5
Story1,Ex,LinStatic,Step By Step,3,X,0.000814,1/1228,177,64,0,4.5
Story1,Ex,LinStatic,Step By Step,3,Y,0.000572,1/1748,177,64,0,4.5
Story1,Ey,LinStatic,Step By Step,1,Y,0.008147,1/123,178,64,8,4.5
Story1,Ey,LinStatic,Step By Step,2,Y,0.008557,1/117,178,64,8,4.5
Story1,Ey,LinStatic,Step By Step,3,Y,0.007737,1/129,178,64,8,4.5
Story1,Qx,LinRespSpec,Max,,X,0.000689,1/1452,181,64,32,4.5
Story1,Qx,LinRespSpec,Max,,Y,0.000718,1/1393,181,64,32,4.5
Story1,Qy,LinRespSpec,Max,,X,0.001967,1/508,172,56,0,4.5
Story1,Qy,LinRespSpec,Max,,Y,0.005907,1/169,178,64,8,4.5
Story1,Qx-Servicio (R=6),LinRespSpec,Max,,X,0.000415,1/2412,181,64,32,4.5
Story1,Qx-Servicio (R=6),LinRespSpec,Max,,Y,0.000432,1/2313,181,64,32,4.5
Story1,Qy-Servicio (R=6),LinRespSpec,Max,,X,0.001117,1/895,172,56,0,4.5
Story1,Qy-Servicio (R=6),LinRespSpec,Max,,Y,0.003353,1/298,178,64,8,4.5
Story1,EU-F,Combination,Max,,X,0.00324,1/309,177,64,0,4.5
Story1,EU-F,Combination,Max,,Y,0.009189,1/109,181,64,32,4.5
Story1,EU-F,Combination,Min,,X,0.003229,1/310,172,56,0,4.5
Story1,EU-F,Combination,Min,,Y,0.009183,1/109,177,64,0,4.5
Story1,ES-F,Combination,Max,,X,0.002272,1/440,177,64,0,4.5
Story1,ES-F,Combination,Max,,Y,0.006437,1/155,181,64,32,4.5
Story1,ES-F,Combination,Min,,X,0.002263,1/442,172,56,0,4.5
Story1,ES-F,Combination,Min,,Y,0.006432,1/155,177,64,0,4.5
